mrid,conducting_equipment,connect,connected_terminals,current_feeder_direction,name,phases,sequence_number,traced_phases,connected,base_voltage,connectivity_node,connectivity_node_id,current_phases.terminal,names,normal_phases.terminal
229977-40600,AcLineSegment{229977},True,[Terminal{1622-40600}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-22000},ConnectivityNode{40600-cn},40600-cn,Terminal{229977-40600},<generator object ngen at 0x0000015E8FE996C0>,Terminal{229977-40600}
16939961-93485,EnergyConsumer{16939961},True,[Terminal{358682-93485}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{93485-cn},93485-cn,Terminal{16939961-93485},<generator object ngen at 0x0000015E8FE996C0>,Terminal{16939961-93485}
156521-662079,AcLineSegment{156521},True,[Terminal{18004603-662079}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{662079-cn},662079-cn,Terminal{156521-662079},<generator object ngen at 0x0000015E8FE996C0>,Terminal{156521-662079}
201447-10320,Disconnector{201447},True,[Terminal{2619-10320}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{10320-cn},10320-cn,Terminal{201447-10320},<generator object ngen at 0x0000015E8FE996C0>,Terminal{201447-10320}
283084-412509,AcLineSegment{283084},True,"[Terminal{15713977-412509}, Terminal{15713996-412509}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{412509-cn},412509-cn,Terminal{283084-412509},<generator object ngen at 0x0000015E8FE996C0>,Terminal{283084-412509}
18010246-295094,EnergyConsumer{18010246},True,[Terminal{584729-295094}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{295094-cn},295094-cn,Terminal{18010246-295094},<generator object ngen at 0x0000015E8FE996C0>,Terminal{18010246-295094}
570581-287700,AcLineSegment{570581},True,"[Terminal{539230-287700}, Terminal{18011084-287700}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{287700-cn},287700-cn,Terminal{570581-287700},<generator object ngen at 0x0000015E8FE996C0>,Terminal{570581-287700}
583074-664837,AcLineSegment{583074},True,[Terminal{17346947-664837}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{664837-cn},664837-cn,Terminal{583074-664837},<generator object ngen at 0x0000015E8FE996C0>,Terminal{583074-664837}
100550-208944,AcLineSegment{100550},True,"[Terminal{20982796-208944}, Terminal{412567-208944}, Terminal{412575-208944}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{208944-cn},208944-cn,Terminal{100550-208944},<generator object ngen at 0x0000015E8FE996C0>,Terminal{100550-208944}
723653-675513,Disconnector{723653},True,[Terminal{603735-675513}],FeederDirection.UPSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{675513-cn},675513-cn,Terminal{723653-675513},<generator object ngen at 0x0000015E8FE996C0>,Terminal{723653-675513}
