mrid,conducting_equipment,connect,connected_terminals,current_feeder_direction,name,phases,sequence_number,traced_phases,connected,base_voltage,connectivity_node,connectivity_node_id,current_phases.terminal,names,normal_phases.terminal
532501-86416,AcLineSegment{532501},True,[Terminal{17337699-86416}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{86416-cn},86416-cn,Terminal{532501-86416},<generator object ngen at 0x0000015E8FE996C0>,Terminal{532501-86416}
302161-3183,AcLineSegment{302161},True,"[Terminal{10048-3183}, Terminal{399365-3183}]",FeederDirection.BOTH,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{3183-cn},3183-cn,Terminal{302161-3183},<generator object ngen at 0x0000015E8FE996C0>,Terminal{302161-3183}
219470-115865,BusbarSection{219470},True,"[Terminal{720409-115865}, Terminal{219469-115865}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{115865-cn},115865-cn,Terminal{219470-115865},<generator object ngen at 0x0000015E8FE996C0>,Terminal{219470-115865}
18009320-705596,EnergyConsumer{18009320},True,[Terminal{649776-705596}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{705596-cn},705596-cn,Terminal{18009320-705596},<generator object ngen at 0x0000015E8FE996C0>,Terminal{18009320-705596}
213745-113184,BusbarSection{213745},True,"[Terminal{714402-113184}, Terminal{213746-113184}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{113184-cn},113184-cn,Terminal{213745-113184},<generator object ngen at 0x0000015E8FE996C0>,Terminal{213745-113184}
208056-757430,Fuse{208056},True,[],FeederDirection.NONE,,PhaseCode.ABC,2,"TracedPhases(normal={NONE, NONE, NONE, NONE}, current={NONE, NONE, NONE, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{757430-cn},757430-cn,Terminal{208056-757430},<generator object ngen at 0x0000015E8FE996C0>,Terminal{208056-757430}
225034-118706,BusbarSection{225034},True,"[Terminal{33687053-118706}, Terminal{225379-118706}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{118706-cn},118706-cn,Terminal{225034-118706},<generator object ngen at 0x0000015E8FE996C0>,Terminal{225034-118706}
211956-358342,BusbarSection{211956},True,[Terminal{712976-358342}],FeederDirection.BOTH,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{358342-cn},358342-cn,Terminal{211956-358342},<generator object ngen at 0x0000015E8FE996C0>,Terminal{211956-358342}
144664-274965,AcLineSegment{144664},True,"[Terminal{15725446-274965}, Terminal{15795417-274965}, Terminal{685041-274965}, Terminal{603454-274965}, Terminal{685040-274965}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{274965-cn},274965-cn,Terminal{144664-274965},<generator object ngen at 0x0000015E8FE996C0>,Terminal{144664-274965}
213831-113227,BusbarSection{213831},True,[Terminal{714468-113227}],FeederDirection.BOTH,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{113227-cn},113227-cn,Terminal{213831-113227},<generator object ngen at 0x0000015E8FE996C0>,Terminal{213831-113227}
660097-674786,AcLineSegment{660097},True,"[Terminal{660098-674786}, Terminal{191691-674786}, Terminal{191692-674786}, Terminal{163667-674786}, Terminal{15709764-674786}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{674786-cn},674786-cn,Terminal{660097-674786},<generator object ngen at 0x0000015E8FE996C0>,Terminal{660097-674786}
21080152-375961,Junction{21080152},True,"[Terminal{231374-375961}, Terminal{19420567-375961}, Terminal{43717-375961}, Terminal{257984-375961}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-22000},ConnectivityNode{375961-cn},375961-cn,Terminal{21080152-375961},<generator object ngen at 0x0000015E8FE996C0>,Terminal{21080152-375961}
652754-616337,AcLineSegment{652754},True,"[Terminal{29218147-616337}, Terminal{653462-616337}, Terminal{529191-616337}, Terminal{144801-616337}, Terminal{569298-616337}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{616337-cn},616337-cn,Terminal{652754-616337},<generator object ngen at 0x0000015E8FE996C0>,Terminal{652754-616337}
537011-622974,AcLineSegment{537011},True,"[Terminal{14440189-622974}, Terminal{145053-622974}, Terminal{537012-622974}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{622974-cn},622974-cn,Terminal{537011-622974},<generator object ngen at 0x0000015E8FE996C0>,Terminal{537011-622974}
473757-302072,AcLineSegment{473757},True,"[Terminal{15725515-302072}, Terminal{164063-302072}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{302072-cn},302072-cn,Terminal{473757-302072},<generator object ngen at 0x0000015E8FE996C0>,Terminal{473757-302072}
163760-649124,AcLineSegment{163760},True,"[Terminal{567715-649124}, Terminal{567716-649124}, Terminal{602526-649124}, Terminal{567714-649124}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{649124-cn},649124-cn,Terminal{163760-649124},<generator object ngen at 0x0000015E8FE996C0>,Terminal{163760-649124}
551269-293920,AcLineSegment{551269},True,"[Terminal{601980-293920}, Terminal{582087-293920}, Terminal{163584-293920}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{293920-cn},293920-cn,Terminal{551269-293920},<generator object ngen at 0x0000015E8FE996C0>,Terminal{551269-293920}
665729-620670,AcLineSegment{665729},True,"[Terminal{541424-620670}, Terminal{541425-620670}, Terminal{141064-620670}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{620670-cn},620670-cn,Terminal{665729-620670},<generator object ngen at 0x0000015E8FE996C0>,Terminal{665729-620670}
308537-158284,AcLineSegment{308537},True,"[Terminal{603486-158284}, Terminal{308538-158284}, Terminal{303600-158284}, Terminal{19090901-158284}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{158284-cn},158284-cn,Terminal{308537-158284},<generator object ngen at 0x0000015E8FE996C0>,Terminal{308537-158284}
294150-151226,AcLineSegment{294150},True,"[Terminal{22132834-151226}, Terminal{294149-151226}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{151226-cn},151226-cn,Terminal{294150-151226},<generator object ngen at 0x0000015E8FE996C0>,Terminal{294150-151226}
434460-538265,AcLineSegment{434460},True,[Terminal{18688780-538265}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{538265-cn},538265-cn,Terminal{434460-538265},<generator object ngen at 0x0000015E8FE996C0>,Terminal{434460-538265}
29507918-518731,EnergyConsumer{29507918},True,[Terminal{411254-518731}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-415},ConnectivityNode{518731-cn},518731-cn,Terminal{29507918-518731},<generator object ngen at 0x0000015E8FE996C0>,Terminal{29507918-518731}
112755-227334,AcLineSegment{112755},True,"[Terminal{454016-227334}, Terminal{29859339-227334}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{227334-cn},227334-cn,Terminal{112755-227334},<generator object ngen at 0x0000015E8FE996C0>,Terminal{112755-227334}
140562-294445,AcLineSegment{140562},True,"[Terminal{19705633-294445}, Terminal{532151-294445}, Terminal{532137-294445}, Terminal{552683-294445}, Terminal{727789-294445}, Terminal{583240-294445}, Terminal{583298-294445}, Terminal{559564-294445}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{294445-cn},294445-cn,Terminal{140562-294445},<generator object ngen at 0x0000015E8FE996C0>,Terminal{140562-294445}
603506-42207,AcLineSegment{603506},True,"[Terminal{562934-42207}, Terminal{13767-42207}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-415},ConnectivityNode{42207-cn},42207-cn,Terminal{603506-42207},<generator object ngen at 0x0000015E8FE996C0>,Terminal{603506-42207}
206131-756809,Fuse{206131},True,[],FeederDirection.NONE,,PhaseCode.ABC,2,"TracedPhases(normal={NONE, NONE, NONE, NONE}, current={NONE, NONE, NONE, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{756809-cn},756809-cn,Terminal{206131-756809},<generator object ngen at 0x0000015E8FE996C0>,Terminal{206131-756809}
227824-372471,BusbarSection{227824},True,[Terminal{739123-372471}],FeederDirection.BOTH,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{372471-cn},372471-cn,Terminal{227824-372471},<generator object ngen at 0x0000015E8FE996C0>,Terminal{227824-372471}
10045-34935,AcLineSegment{10045},True,[Terminal{202152-34935}],FeederDirection.BOTH,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{34935-cn},34935-cn,Terminal{10045-34935},<generator object ngen at 0x0000015E8FE996C0>,Terminal{10045-34935}
2621-46771,AcLineSegment{2621},True,"[Terminal{398883-46771}, Terminal{442783-46771}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{46771-cn},46771-cn,Terminal{2621-46771},<generator object ngen at 0x0000015E8FE996C0>,Terminal{2621-46771}
352229-477598,AcLineSegment{352229},True,[Terminal{18377940-477598}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{477598-cn},477598-cn,Terminal{352229-477598},<generator object ngen at 0x0000015E8FE996C0>,Terminal{352229-477598}
453759-554408,AcLineSegment{453759},True,[Terminal{30300313-554408}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{554408-cn},554408-cn,Terminal{453759-554408},<generator object ngen at 0x0000015E8FE996C0>,Terminal{453759-554408}
18011060-620237,EnergyConsumer{18011060},True,[Terminal{533067-620237}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{620237-cn},620237-cn,Terminal{18011060-620237},<generator object ngen at 0x0000015E8FE996C0>,Terminal{18011060-620237}
20858000-518824,EnergyConsumer{20858000},True,[Terminal{411361-518824}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-415},ConnectivityNode{518824-cn},518824-cn,Terminal{20858000-518824},<generator object ngen at 0x0000015E8FE996C0>,Terminal{20858000-518824}
28905664-733644,EnergyConsumer{28905664},True,"[Terminal{190592-733644}, Terminal{190591-733644}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{733644-cn},733644-cn,Terminal{28905664-733644},<generator object ngen at 0x0000015E8FE996C0>,Terminal{28905664-733644}
37284454-127304,Junction{37284454},True,"[Terminal{243656-127304}, Terminal{259063-127304}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-22000},ConnectivityNode{127304-cn},127304-cn,Terminal{37284454-127304},<generator object ngen at 0x0000015E8FE996C0>,Terminal{37284454-127304}
463814-562557,AcLineSegment{463814},True,"[Terminal{562935-562557}, Terminal{562934-562557}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-415},ConnectivityNode{562557-cn},562557-cn,Terminal{463814-562557},<generator object ngen at 0x0000015E8FE996C0>,Terminal{463814-562557}
733331-59217,Fuse{733331},True,[Terminal{4631-59217}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{59217-cn},59217-cn,Terminal{733331-59217},<generator object ngen at 0x0000015E8FE996C0>,Terminal{733331-59217}
19050182-410614,Junction{19050182},True,"[Terminal{56577-410614}, Terminal{281076-410614}, Terminal{56580-410614}, Terminal{56578-410614}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{410614-cn},410614-cn,Terminal{19050182-410614},<generator object ngen at 0x0000015E8FE996C0>,Terminal{19050182-410614}
18007383-288106,EnergyConsumer{18007383},True,[Terminal{571339-288106}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{288106-cn},288106-cn,Terminal{18007383-288106},<generator object ngen at 0x0000015E8FE996C0>,Terminal{18007383-288106}
503919-595050,AcLineSegment{503919},True,"[Terminal{130734-595050}, Terminal{36215967-595050}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{595050-cn},595050-cn,Terminal{503919-595050},<generator object ngen at 0x0000015E8FE996C0>,Terminal{503919-595050}
200290-42210,Fuse{200290},True,[Terminal{13769-42210}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-415},ConnectivityNode{42210-cn},42210-cn,Terminal{200290-42210},<generator object ngen at 0x0000015E8FE996C0>,Terminal{200290-42210}
560880-302077,AcLineSegment{560880},True,"[Terminal{580139-302077}, Terminal{580140-302077}, Terminal{463467-302077}, Terminal{29218829-302077}, Terminal{603457-302077}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{302077-cn},302077-cn,Terminal{560880-302077},<generator object ngen at 0x0000015E8FE996C0>,Terminal{560880-302077}
31940698-369082,Junction{31940698},True,"[Terminal{734010-369082}, Terminal{224196-369082}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{369082-cn},369082-cn,Terminal{31940698-369082},<generator object ngen at 0x0000015E8FE996C0>,Terminal{31940698-369082}
20566920-516135,Junction{20566920},True,"[Terminal{408170-516135}, Terminal{99288-516135}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{516135-cn},516135-cn,Terminal{20566920-516135},<generator object ngen at 0x0000015E8FE996C0>,Terminal{20566920-516135}
299633-430105,AcLineSegment{299633},True,[Terminal{17347838-430105}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{430105-cn},430105-cn,Terminal{299633-430105},<generator object ngen at 0x0000015E8FE996C0>,Terminal{299633-430105}
204320-618732,Fuse{204320},True,"[Terminal{202592-618732}, Terminal{649247-618732}, Terminal{531258-618732}, Terminal{14534155-618732}, Terminal{648860-618732}, Terminal{179637-618732}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{618732-cn},618732-cn,Terminal{204320-618732},<generator object ngen at 0x0000015E8FE996C0>,Terminal{204320-618732}
65432-437675,AcLineSegment{65432},True,[Terminal{18010186-437675}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{437675-cn},437675-cn,Terminal{65432-437675},<generator object ngen at 0x0000015E8FE996C0>,Terminal{65432-437675}
506954-598504,AcLineSegment{506954},True,"[Terminal{36648212-598504}, Terminal{506953-598504}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{598504-cn},598504-cn,Terminal{506954-598504},<generator object ngen at 0x0000015E8FE996C0>,Terminal{506954-598504}
737922-362792,Fuse{737922},True,"[Terminal{216899-362792}, Terminal{10702381-362792}, Terminal{216900-362792}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{362792-cn},362792-cn,Terminal{737922-362792},<generator object ngen at 0x0000015E8FE996C0>,Terminal{737922-362792}
235776-127081,AcLineSegment{235776},True,[Terminal{43536-127081}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-22000},ConnectivityNode{127081-cn},127081-cn,Terminal{235776-127081},<generator object ngen at 0x0000015E8FE996C0>,Terminal{235776-127081}
19702050-426653,EnergyConsumer{19702050},True,[Terminal{296064-426653}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{426653-cn},426653-cn,Terminal{19702050-426653},<generator object ngen at 0x0000015E8FE996C0>,Terminal{19702050-426653}
299630-430099,AcLineSegment{299630},True,[Terminal{17347850-430099}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{430099-cn},430099-cn,Terminal{299630-430099},<generator object ngen at 0x0000015E8FE996C0>,Terminal{299630-430099}
529221-616386,AcLineSegment{529221},True,"[Terminal{38107287-616386}, Terminal{541983-616386}, Terminal{547503-616386}, Terminal{571249-616386}, Terminal{164059-616386}, Terminal{727763-616386}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{616386-cn},616386-cn,Terminal{529221-616386},<generator object ngen at 0x0000015E8FE996C0>,Terminal{529221-616386}
140271-345100,AcLineSegment{140271},True,"[Terminal{642607-345100}, Terminal{156535-345100}, Terminal{653299-345100}, Terminal{642600-345100}, Terminal{198930-345100}, Terminal{148268-345100}, Terminal{176895-345100}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{345100-cn},345100-cn,Terminal{140271-345100},<generator object ngen at 0x0000015E8FE996C0>,Terminal{140271-345100}
144969-276993,AcLineSegment{144969},True,"[Terminal{145932-276993}, Terminal{145931-276993}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{276993-cn},276993-cn,Terminal{144969-276993},<generator object ngen at 0x0000015E8FE996C0>,Terminal{144969-276993}
17355953-665121,EnergyConsumer{17355953},True,[Terminal{583417-665121}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{665121-cn},665121-cn,Terminal{17355953-665121},<generator object ngen at 0x0000015E8FE996C0>,Terminal{17355953-665121}
412568-208946,AcLineSegment{412568},True,"[Terminal{100549-208946}, Terminal{20982801-208946}, Terminal{100550-208946}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{208946-cn},208946-cn,Terminal{412568-208946},<generator object ngen at 0x0000015E8FE996C0>,Terminal{412568-208946}
658084-634383,AcLineSegment{658084},True,"[Terminal{549866-634383}, Terminal{549690-634383}, Terminal{603482-634383}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{634383-cn},634383-cn,Terminal{658084-634383},<generator object ngen at 0x0000015E8FE996C0>,Terminal{658084-634383}
35996896-587288,Junction{35996896},True,"[Terminal{493792-587288}, Terminal{499948-587288}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{587288-cn},587288-cn,Terminal{35996896-587288},<generator object ngen at 0x0000015E8FE996C0>,Terminal{35996896-587288}
152705-287038,AcLineSegment{152705},True,[Terminal{17346251-287038}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{287038-cn},287038-cn,Terminal{152705-287038},<generator object ngen at 0x0000015E8FE996C0>,Terminal{152705-287038}
600716-482817,AcLineSegment{600716},True,"[Terminal{15714228-482817}, Terminal{600717-482817}, Terminal{358301-482817}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{482817-cn},482817-cn,Terminal{600716-482817},<generator object ngen at 0x0000015E8FE996C0>,Terminal{600716-482817}
20979983-519813,Junction{20979983},True,"[Terminal{412509-519813}, Terminal{412508-519813}, Terminal{412575-519813}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{519813-cn},519813-cn,Terminal{20979983-519813},<generator object ngen at 0x0000015E8FE996C0>,Terminal{20979983-519813}
14534155-618732,Junction{14534155},True,"[Terminal{202592-618732}, Terminal{204320-618732}, Terminal{649247-618732}, Terminal{531258-618732}, Terminal{648860-618732}, Terminal{179637-618732}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{618732-cn},618732-cn,Terminal{14534155-618732},<generator object ngen at 0x0000015E8FE996C0>,Terminal{14534155-618732}
733865-368978,Fuse{733865},True,"[Terminal{36975-368978}, Terminal{31782029-368978}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{368978-cn},368978-cn,Terminal{733865-368978},<generator object ngen at 0x0000015E8FE9A140>,Terminal{733865-368978}
601730-292839,AcLineSegment{601730},True,"[Terminal{151592-292839}, Terminal{156528-292839}, Terminal{156527-292839}, Terminal{601731-292839}, Terminal{156475-292839}, Terminal{153400-292839}, Terminal{29227771-292839}, Terminal{458399-292839}, Terminal{636667-292839}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{292839-cn},292839-cn,Terminal{601730-292839},<generator object ngen at 0x0000015E8FE996C0>,Terminal{601730-292839}
360507-184760,AcLineSegment{360507},True,[Terminal{18009440-184760}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{184760-cn},184760-cn,Terminal{360507-184760},<generator object ngen at 0x0000015E8FE996C0>,Terminal{360507-184760}
288523-417916,AcLineSegment{288523},True,[Terminal{17348040-417916}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{417916-cn},417916-cn,Terminal{288523-417916},<generator object ngen at 0x0000015E8FE996C0>,Terminal{288523-417916}
579504-292573,AcLineSegment{579504},True,"[Terminal{583362-292573}, Terminal{656962-292573}, Terminal{656961-292573}, Terminal{579503-292573}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{292573-cn},292573-cn,Terminal{579504-292573},<generator object ngen at 0x0000015E8FE996C0>,Terminal{579504-292573}
22945923-217174,EnergyConsumer{22945923},True,[Terminal{429058-217174}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{217174-cn},217174-cn,Terminal{22945923-217174},<generator object ngen at 0x0000015E8FE996C0>,Terminal{22945923-217174}
