id,names,terminals,description,switch,num_terminals,is_switched
ConnectivityNode{506329-cn},[],"[Terminal{440349-506329}, Terminal{28839006-506329}, Terminal{440350-506329}]",,None,3,False
ConnectivityNode{250511-cn},[],"[Terminal{579537-250511}, Terminal{17341275-250511}]",,None,2,False
ConnectivityNode{345436-cn},[],[Terminal{249047-345436}],,Disconnector{249047},1,True
ConnectivityNode{179759-cn},[],"[Terminal{28835747-179759}, Terminal{110640-179759}]",,None,2,False
ConnectivityNode{597014-cn},[],"[Terminal{544539-597014}, Terminal{18007431-597014}]",,None,2,False
ConnectivityNode{70406-cn},[],"[Terminal{251568-70406}, Terminal{220688-70406}]",,Fuse{251568},2,True
ConnectivityNode{619890-cn},[],"[Terminal{18007946-619890}, Terminal{570521-619890}]",,None,2,False
ConnectivityNode{309408-cn},[],"[Terminal{508978-309408}, Terminal{729459-309408}, Terminal{20780823-309408}, Terminal{20780818-309408}]",,Disconnector{729459},4,True
ConnectivityNode{62160-cn},[],"[Terminal{729991-62160}, Terminal{21359246-62160}, Terminal{21359287-62160}]",,Disconnector{729991},3,True
ConnectivityNode{446687-cn},[],"[Terminal{18713098-446687}, Terminal{361301-446687}]",,None,2,False
ConnectivityNode{278350-cn},[],"[Terminal{15741633-278350}, Terminal{646855-278350}, Terminal{646854-278350}, Terminal{636600-278350}]",,None,4,False
ConnectivityNode{339281-cn},[],"[Terminal{237524-339281}, Terminal{255407-339281}]",,Disconnector{255407},2,True
ConnectivityNode{481713-cn},[],"[Terminal{20780835-481713}, Terminal{412546-481713}, Terminal{501239-481713}, Terminal{29197142-481713}]",,None,4,False
ConnectivityNode{619250-cn},[],"[Terminal{17338820-619250}, Terminal{152971-619250}]",,None,2,False
ConnectivityNode{53945-cn},[],"[Terminal{260346-53945}, Terminal{5988-53945}]",,Disconnector{260346},2,True
ConnectivityNode{3053-cn},[],"[Terminal{713832-3053}, Terminal{12123-3053}]",,Fuse{713832},2,True
ConnectivityNode{391714-cn},[],"[Terminal{63501-391714}, Terminal{19702457-391714}]",,None,2,False
ConnectivityNode{679634-cn},[],"[Terminal{656677-679634}, Terminal{17338784-679634}]",,None,2,False
